item_id,Brand Name,Generic Name,Category
ITM_001,Polytrim,polymyxin B / trimethoprim Ophthalmic Solution,Other
ITM_002,Advil,ibuprofen Oral Tablet,Other
ITM_003,Anaprox,naproxen Oral Tablet,Other
ITM_004,Anectine,succinylcholine Injectable Solution,Other
ITM_005,Ativan,lorazepam Injectable Solution,Other
ITM_006,Ativan,lorazepam Oral Tablet,Other
ITM_007,Betoptic S,betaxolol Ophthalmic Suspension,Other
ITM_008,Calan,verapamil Oral Tablet,Other
ITM_009,Cardura,doxazosin Oral Tablet,Other
ITM_010,Chloraseptic,benzocaine Oral Lozenge,Other
ITM_011,Cordarone,amiodarone Oral Tablet,Other
ITM_012,Corgard,nadolol Oral Tablet,Other
ITM_013,DDAVP,desmopressin Injectable Solution,Other
ITM_014,Deltasone,prednisone Oral Tablet,Other
ITM_015,Diuril,chlorothiazide Oral Suspension,Other
ITM_016,Elavil,amitriptyline Oral Tablet,Other
ITM_017,Epogen,epoetin alfa Injectable Solution,Other
ITM_018,Fluoroplex,fluorouracil 10 MG/ML Topical Cream,Skin/Topical
ITM_019,Fulvicin P/G,griseofulvin 165 MG Oral Tablet,Other
ITM_020,Indocin,indomethacin Oral Suspension,Other
ITM_021,Kenalog,triamcinolone Topical Spray,Skin/Topical
ITM_022,Klonopin,clonazepam Oral Tablet,Other
ITM_023,Maxitrol,dexamethasone / neomycin / polymyxin B Ophthalmic Ointment,Skin/Topical
ITM_024,Maxitrol,dexamethasone / neomycin / polymyxin B Ophthalmic Suspension,Other
ITM_025,Maxzide,hydrochlorothiazide 50 MG / triamterene 75 MG Oral Tablet,Other
ITM_026,Maxzide,hydrochlorothiazide 25 MG / triamterene 37.5 MG Oral Tablet,Other
ITM_027,Mesnex,mesna Injectable Solution,Other
ITM_028,Minocin,minocycline Oral Suspension,Other
ITM_029,Motrin,ibuprofen Oral Tablet,Other
ITM_030,Naphcon A,naphazoline / pheniramine Ophthalmic Solution,Other
ITM_031,Naprosyn,naproxen Oral Suspension,Other
ITM_032,Naprosyn,naproxen Oral Tablet,Other
ITM_033,Nesacaine,chloroprocaine Injectable Solution,Other
ITM_034,Niacor,niacin Oral Tablet,Other
ITM_035,Nitro-Bid,nitroglycerin Topical Ointment,Skin/Topical
ITM_036,Paraplatin,carboplatin Injectable Solution,Other
ITM_037,Pediapred,prednisolone Oral Solution,Other
ITM_038,Pepcid,famotidine Oral Tablet,Other
ITM_039,Pfizerpen,penicillin G Injectable Solution,Other
ITM_040,Pilocar,pilocarpine Ophthalmic Solution,Other
ITM_041,Pitocin,oxytocin Injectable Solution,Other
ITM_042,Plaquenil,hydroxychloroquine Oral Tablet,Other
ITM_043,Polysporin,bacitracin / polymyxin B Topical Ointment,Skin/Topical
ITM_044,Procrit,epoetin alfa Injectable Solution,Other
ITM_045,Provera,medroxyprogesterone Oral Tablet,Other
ITM_046,Prozac,fluoxetine Oral Capsule,Other
ITM_047,Reglan,metoclopramide Oral Tablet,Other
ITM_048,Restoril,temazepam Oral Capsule,Other
ITM_049,Rogaine,minoxidil Topical Solution,Skin/Topical
ITM_050,Rowasa,mesalamine Enema,Other
ITM_051,Sandimmune,cyclosporine Oral Solution,Other
ITM_052,Sensorcaine,bupivacaine Injectable Solution,Other
ITM_053,Soma,carisoprodol Oral Tablet,Other
ITM_054,Tagamet,cimetidine Oral Tablet,Other
ITM_055,Tazicef,ceftazidime Injectable Solution,Other
ITM_056,Tobradex,dexamethasone / tobramycin Ophthalmic Suspension,Other
ITM_057,Tobradex,dexamethasone / tobramycin Ophthalmic Ointment,Skin/Topical
ITM_058,Tobrex,tobramycin Ophthalmic Ointment,Skin/Topical
ITM_059,Tobrex,tobramycin Ophthalmic Solution,Other
ITM_060,Topicort,desoximetasone 2.5 MG/ML Topical Cream,Skin/Topical
ITM_061,Topicort,desoximetasone 0.0005 MG/MG Topical Gel,Skin/Topical
ITM_062,Topicort,desoximetasone 0.0025 MG/MG Topical Ointment,Skin/Topical
ITM_063,Valium,diazepam Oral Tablet,Other
ITM_064,Vermox,mebendazole Chewable Tablet,Other
ITM_065,Viroptic,trifluridine Ophthalmic Solution,Other
ITM_066,Xanax,alprazolam Oral Tablet,Other
ITM_067,Xylocaine,lidocaine Injectable Solution,Other
ITM_068,Robinul,glycopyrrolate 2 MG Oral Tablet,Other
ITM_069,Cortenema,hydrocortisone 1.67 MG/ML Enema,Other
ITM_070,Lincocin,lincomycin 300 MG/ML Injectable Solution,Other
ITM_071,Tridesilon,desonide 0.5 MG/ML Topical Cream,Skin/Topical
ITM_072,Bactroban,mupirocin 0.02 MG/MG Topical Ointment,Skin/Topical
ITM_073,Mycobutin,rifabutin 150 MG Oral Capsule,Other
ITM_074,Lescol,fluvastatin 40 MG Oral Capsule,Other
ITM_075,Ciloxan,ciprofloxacin 3 MG/ML Ophthalmic Solution,Other
ITM_076,Caverject,alprostadil 0.02 MG Injection,Other
ITM_077,Probanthine,propantheline 15 MG Oral Tablet,Other
ITM_078,Tagamet,cimetidine 200 MG Oral Tablet,Other
ITM_079,Pepcid,famotidine 20 MG Oral Tablet,Other
ITM_080,Pepcid,famotidine 40 MG Oral Tablet,Other
ITM_081,Cytotec,misoprostol 0.2 MG Oral Tablet,Other
ITM_082,Asacol,mesalamine 400 MG Delayed Release Oral Tablet,Other
ITM_083,Lanoxin,digoxin 0.0625 MG Oral Tablet,Other
ITM_084,Cardura,doxazosin 1 MG Oral Tablet,Other
ITM_085,Cardura,doxazosin 2 MG Oral Tablet,Other
ITM_086,Cardura,doxazosin 4 MG Oral Tablet,Other
ITM_087,Zestril,lisinopril 2.5 MG Oral Tablet,Other
ITM_088,Zestril,lisinopril 5 MG Oral Tablet,Other
ITM_089,Zestril,lisinopril 10 MG Oral Tablet,Other
ITM_090,Zestril,lisinopril 20 MG Oral Tablet,Other
ITM_091,Altace,ramipril 2.5 MG Oral Capsule,Other
ITM_092,Altace,ramipril 5 MG Oral Capsule,Other
ITM_093,Zocor,simvastatin 10 MG Oral Tablet,Other
ITM_094,Zocor,simvastatin 20 MG Oral Tablet,Other
ITM_095,Valium,diazepam 2 MG Oral Tablet,Other
ITM_096,Valium,diazepam 5 MG Oral Tablet,Other
ITM_097,Valium,diazepam 10 MG Oral Tablet,Other
ITM_098,Ativan,lorazepam 1 MG Oral Tablet,Other
ITM_099,Clozaril,clozapine 25 MG Oral Tablet,Other
ITM_100,Clozaril,clozapine 100 MG Oral Tablet,Other
ITM_101,Risperdal,risperidone 1 MG Oral Tablet,Other
ITM_102,Risperdal,risperidone 2 MG Oral Tablet,Other
ITM_103,Risperdal,risperidone 3 MG Oral Tablet,Other
ITM_104,Risperdal,risperidone 4 MG Oral Tablet,Other
ITM_105,Nardil,phenelzine 15 MG Oral Tablet,Other
ITM_106,Parnate,tranylcypromine 10 MG Oral Tablet,Other
ITM_107,Prozac,fluoxetine 20 MG Oral Capsule,Other
ITM_108,Cesamet,nabilone 1 MG Oral Capsule,Other
ITM_109,Lamictal,lamotrigine 100 MG Oral Tablet,Other
ITM_110,Lamictal,lamotrigine 25 MG Oral Tablet,Other
ITM_111,Neurontin,gabapentin 100 MG Oral Capsule,Other
ITM_112,Neurontin,gabapentin 300 MG Oral Capsule,Other
ITM_113,Neurontin,gabapentin 400 MG Oral Capsule,Other
ITM_114,Parlodel,bromocriptine 5 MG Oral Capsule,Other
ITM_115,Nicorette,nicotine 4 MG Chewing Gum,Other
ITM_116,Claforan,cefotaxime 200 MG/ML Injectable Solution,Other
ITM_117,Zithromax,azithromycin 40 MG/ML Oral Suspension,Other
ITM_118,Decadron,dexamethasone 0.5 MG Oral Tablet,Other
ITM_119,Solu-Cortef,hydrocortisone 100 MG Injection,Other
ITM_120,Parlodel,bromocriptine 2.5 MG Oral Tablet,Other
ITM_121,Metopirone,metyrapone 250 MG Oral Capsule,Other
ITM_122,Prostin VR,1 ML alprostadil 0.5 MG/ML Injection,Other
ITM_123,Premarin,"estrogens, conjugated (USP) Vaginal Cream",Skin/Topical
ITM_124,Myleran,busulfan 2 MG Oral Tablet,Other
ITM_125,BiCNU,carmustine 100 MG Injection,Other
ITM_126,Leukeran,chlorambucil 2 MG Oral Tablet,Other
ITM_127,Alkeran,melphalan 2 MG Oral Tablet,Other
ITM_128,Cosmegen,dactinomycin 0.5 MG Injection,Other
ITM_129,Tabloid,thioguanine 40 MG Oral Tablet,Other
ITM_130,Hydrea,hydroxyurea 500 MG Oral Capsule,Other
ITM_131,Nipent,pentostatin 10 MG Injection,Other
ITM_132,Imuran,azathioprine 50 MG Oral Tablet,Other
ITM_133,Zoladex,goserelin 3.6 MG Drug Implant,Other
ITM_134,Proleukin,aldesleukin 22000000 UNT Injection,Other
ITM_135,Dolobid,diflunisal 250 MG Oral Tablet,Other
ITM_136,Naprosyn,naproxen 500 MG Oral Tablet,Other
ITM_137,Feldene,piroxicam 10 MG Oral Capsule,Other
ITM_138,Feldene,piroxicam 20 MG Oral Capsule,Other
ITM_139,Phillips Milk of Magnesia,magnesium hydroxide Oral Suspension,Other
ITM_140,Humulin,"insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension",Other
ITM_141,Thymoglobulin,rabbit anti-human T-lymphocyte globulin 25 MG Injection,Other
ITM_142,Betadine,povidone-iodine 50 MG/ML Topical Spray,Skin/Topical
ITM_143,Benzamycin,benzoyl peroxide / erythromycin Topical Gel,Skin/Topical
ITM_144,Retrovir,20 ML zidovudine 10 MG/ML Injection,Other
ITM_145,Prograf,tacrolimus 1 MG Oral Capsule,Other
ITM_146,Prograf,tacrolimus 5 MG Oral Capsule,Other
ITM_147,Prograf,1 ML tacrolimus 5 MG/ML Injection,Other
ITM_148,Valtrex,valacyclovir 500 MG Oral Tablet,Other
ITM_149,Lamictal,lamotrigine 200 MG Oral Tablet,Other
ITM_150,Casodex,bicalutamide 50 MG Oral Tablet,Other
ITM_151,Dovonex,calcipotriene 0.05 MG/ML Topical Cream,Skin/Topical
ITM_152,Xanax,alprazolam 0.25 MG Oral Tablet,Other
ITM_153,Xanax,alprazolam 0.5 MG Oral Tablet,Other
ITM_154,Tenormin,atenolol 25 MG Oral Tablet,Other
ITM_155,Premarin,"estrogens, conjugated (USP) 0.625 MG Oral Tablet",Other
ITM_156,Trusopt,dorzolamide 20 MG/ML Ophthalmic Solution,Other
ITM_157,Arimidex,anastrozole 1 MG Oral Tablet,Other
ITM_158,Topamax,topiramate 50 MG Oral Tablet,Other
ITM_159,Topamax,topiramate 100 MG Oral Tablet,Other
ITM_160,Topamax,topiramate 200 MG Oral Tablet,Other
ITM_161,Tenormin,atenolol 50 MG Oral Tablet,Other
ITM_162,Mobic,meloxicam 7.5 MG Oral Tablet,Other
ITM_163,Mobic,meloxicam 15 MG Oral Tablet,Other
ITM_164,Sporanox,itraconazole 10 MG/ML Oral Solution,Other
ITM_165,Topamax,topiramate 25 MG Oral Tablet,Other
ITM_166,Fareston,toremifene 60 MG Oral Tablet,Other
ITM_167,Rilutek,riluzole 50 MG Oral Tablet,Other
ITM_168,Zocor,simvastatin 40 MG Oral Tablet,Other
ITM_169,Epivir,lamivudine 150 MG Oral Tablet,Other
ITM_170,Epivir,lamivudine 10 MG/ML Oral Solution,Other
ITM_171,Norvir,ritonavir 100 MG Oral Capsule,Other
ITM_172,Norvir,ritonavir 80 MG/ML Oral Solution,Other
ITM_173,Advil,ibuprofen 200 MG Oral Tablet,Other
ITM_174,Zyprexa,olanzapine 5 MG Oral Tablet,Other
ITM_175,Zyprexa,olanzapine 7.5 MG Oral Tablet,Other
ITM_176,Zyprexa,olanzapine 10 MG Oral Tablet,Other
ITM_177,GlucaGen,glucagon (rDNA) 1 MG Injection,Other
ITM_178,Femara,letrozole 2.5 MG Oral Tablet,Other
ITM_179,Differin,adapalene 0.001 MG/MG Topical Gel,Skin/Topical
ITM_180,Zomig,zolmitriptan 2.5 MG Oral Tablet,Other
ITM_181,Crinone,progesterone 0.04 MG/MG Vaginal Gel,Skin/Topical
ITM_182,Crinone,progesterone 0.08 MG/MG Vaginal Gel,Skin/Topical
ITM_183,Amaryl,glimepiride 2 MG Oral Tablet,Other
ITM_184,Vesanoid,tretinoin 10 MG Oral Capsule,Other
ITM_185,Seroquel,quetiapine 25 MG Oral Tablet,Other
ITM_186,Seroquel,quetiapine 100 MG Oral Tablet,Other
ITM_187,Seroquel,quetiapine 200 MG Oral Tablet,Other
ITM_188,Tasmar,tolcapone 100 MG Oral Tablet,Other
ITM_189,Avapro,irbesartan 75 MG Oral Tablet,Other
ITM_190,Avapro,irbesartan 150 MG Oral Tablet,Other
ITM_191,Avapro,irbesartan 300 MG Oral Tablet,Other
ITM_192,Zanaflex,tizanidine 2 MG Oral Tablet,Other
ITM_193,Zanaflex,tizanidine 4 MG Oral Tablet,Other
ITM_194,Amaryl,glimepiride 1 MG Oral Tablet,Other
ITM_195,Amaryl,glimepiride 4 MG Oral Tablet,Other
ITM_196,Singulair,montelukast 10 MG Oral Tablet,Other
ITM_197,Singulair,montelukast 5 MG Chewable Tablet,Other
